person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Constantin Mazilescu,constantinmazilescu,constantinmazilescu@post.ro,7090325404681,1962-04-27,"Intrarea Florea, Remetea, 211145",0265 262 032,02:00:b2:e1:42:93,186.19.104.101,RO58HOHS9137898035076701,2025-06-18 02:54:42,16747,925,669,394026,56585fd5-e5be-4aaf-8f32-1202664fa326
Filofteia Stoica,filofteiastoica,filofteiastoica@gmail.com,8200507201401,1937-12-07,"Drumul Tudor, Arbore, 595851",0760 471 921,92:dd:5d:1b:53:79,122.253.11.64,RO32YERD6322314263777201,2025-06-18 02:54:42,11131,18,500,937067,04274cb3-2767-4c20-8277-cefb8be0a6f1
Roberta Eftimie,robertaeftimie,robertaeftimie@141.ro,8330913443198,1979-05-26,"Intrarea Preda Nr. 11 Bl. 11  Sc. 36 Ap. 127, Schela Cladovei, 299683",0751 658 827,dc:a6:f6:7f:0d:cd,165.62.67.124,RO31FTOC1863102314281604,2025-06-18 02:54:42,6418,658,213,322686,b9e4356e-3750-4ec9-b2f4-f3c9dcae2b73
Aurelian Tabacu,aureliantabacu,aureliantabacu@email.ro,7040117033319,2012-10-07,"Intrarea Florea, Sannicolau Mare, 164493",0240 824 644,08:0d:7f:1e:7d:93,17.51.232.235,RO32RDIQ7282190219070301,2025-06-18 02:54:42,8403,685,413,1401089,1f1c81b3-8fd4-4668-80f8-372a1e603611
Mitruț Ene,mitruțene,mitruțene@kappa.ro,4091005311930,1988-03-17,"Drumul Georgescu, Glina, 474677",0262 991 888,42:0a:0f:7d:e0:56,185.38.237.253,RO24JTWB6044390006998065,2025-06-18 02:54:42,31217,284,502,97283,99b9dc98-ca2e-4810-afc5-3e89f2748207
Anaida Popa,anaidapopa,anaidapopa@acasa.ro,1901029071594,1985-03-05,"Aleea Dorli Albu, Magurele, 160734",0749 187 282,5e:6c:d7:62:8a:77,107.247.95.215,RO48QVAG1525933615012716,2025-06-18 02:54:42,20693,224,646,1320541,38c5008f-3f7b-4af8-a982-4b1e51188aa8
Nicuță Tudor,nicuțătudor,nicuțătudor@kappa.ro,3970805032455,1963-05-10,"Bulevardul Rica Diaconu, Sighetu Marmatiei, 839715",0244 811 674,60:a1:84:59:39:3d,189.96.181.158,RO18GWGD9905368270925126,2025-06-18 02:54:42,32506,320,361,1575438,f7678a5b-e1ff-43b8-b0e4-2763d3cb409b
Marcel Popa,marcelpopa,marcelpopa@acasa.ro,2890930295829,1917-08-06,"Bulevardul Gicu Dinu Nr. 890 Bl. 32  Sc. 96 Ap. 212, Cornetu, 166234",0259 794 252,6a:70:4c:2d:ef:71,190.81.100.178,RO34GRRF4837050961408205,2025-06-18 02:54:42,13118,230,555,1162341,7c0aec9f-2fa1-4f0c-9aef-53df96dfd102
Lucian Toma,luciantoma,luciantoma@zzup.ro,8020504069828,1933-08-24,"Drumul Elvira Dobre Nr. 94 Bl. 21  Sc. 64 Ap. 705, Adjud, 949017",0786 349 286,ba:84:53:f1:68:de,43.20.149.193,RO45JXBE8444430242613908,2025-06-18 02:54:42,26236,81,646,1753838,749a8e11-2523-4774-8e16-7fbdb50142ff
Luiza Popa,luizapopa,luizapopa@email.ro,1940226443835,1958-06-22,"Soseaua Dima Nr. 95 Bl. 95  Sc. 72 Ap. 572, Adjud, 398626",0265 037 364,0e:22:90:d9:28:26,183.227.110.238,RO73FQSZ8642854031795893,2025-06-18 02:54:42,32317,423,307,1820780,f57e6456-7fde-4d72-a0f7-ec3cb57361c0
Iustina Dochioiu,iustinadochioiu,iustinadochioiu@acasa.ro,5850124138948,1961-12-18,"Strada Manole Nr. 84, Domnesti, 857648",0757 313 677,b0:1a:c6:64:f1:db,15.145.40.165,RO41SHON1225534558882162,2025-06-18 02:54:42,2415,355,208,1279875,0fba0ef6-399a-4928-a296-b19be468b65b
Aurel Diaconu,aureldiaconu,aureldiaconu@zzup.ro,1120631159371,1936-04-17,"Intrarea Stoica, Fagaras, 814890",0772 262 979,ae:dc:4e:6e:56:d3,143.221.115.179,RO59DUBL1676189069388094,2025-06-18 02:54:42,4758,929,181,1379563,15239f18-0687-4b82-a91b-73569c35bbdd
Anda Voinea,andavoinea,andavoinea@acasa.ro,5560327093901,1964-10-16,"Intrarea Mocanu, Filiasi, 974901",0244 509 619,ae:ec:ea:b4:4f:99,151.52.68.244,RO42ZGOW0147434861943213,2025-06-18 02:54:42,17813,494,124,326238,ab2af0e3-db57-452c-a6e7-9267c38a1289
Toma Eftimie,tomaeftimie,tomaeftimie@zzup.ro,6831230253918,2009-08-17,"Intrarea Visarion Oprea, Buhusi, 349474",0234 987 224,00:0a:2d:cd:4e:c8,63.202.58.139,RO88STOX4731731211820099,2025-06-18 02:54:42,27037,743,176,673887,45522f1a-c740-46ac-ba67-ee9721b4c598
Stancu Albu,stancualbu,stancualbu@zzup.ro,5300530251385,1975-11-13,"Intrarea Nemeș Nr. 459, Baia Mare, 702403",0758 256 083,ea:23:a2:8d:9b:08,184.178.127.126,RO84NZCD9999573701936968,2025-06-18 02:54:42,26378,190,707,1095869,bf1e35c0-5388-431c-bdaa-f3e233cefe16
Gențiana Cristea,gențianacristea,gențianacristea@post.ro,8360303459169,1993-05-02,"Drumul Tabacu Nr. 372 Bl. 97  Sc. 89 Ap. 378, Baile Borsa, 416061",0243 555 770,2e:e8:22:15:50:40,158.111.231.132,RO36QOBH4848471264942916,2025-06-18 02:54:42,22589,116,3,585570,1d63478b-37ca-4366-841c-a99933145ec1
Radu Tabacu,radutabacu,radutabacu@acasa.ro,6060508370793,1998-10-25,"Bulevardul Nadia Popescu Nr. 45 Bl. 75  Sc. 79 Ap. 733, Zimnicea, 626994",0737 128 369,10:0c:27:2a:2f:a9,4.65.97.147,RO75DAHI1866859250173562,2025-06-18 02:54:42,19748,56,300,1318396,02f2f774-c740-4307-8ad8-d992212fec15
Corneliu Preda,corneliupreda,corneliupreda@zzup.ro,4870421335068,2010-01-26,"Drumul Dobre Nr. 78, Valea Mare (Negresti), 434191",0252 327 209,8c:21:8d:8b:96:18,170.234.16.90,RO95CJUS1744538873931951,2025-06-18 02:54:42,16074,178,248,1202656,b656c8ec-541a-49ab-8f3e-787bf3db3e93
Roxana Dinu,roxanadinu,roxanadinu@acasa.ro,7161222242910,1953-03-06,"Drumul Stănescu Nr. 138 Bl. 32  Sc. 86 Ap. 355, Techirghiol, 337205",0741 918 708,3a:20:39:01:fb:71,62.16.48.25,RO88ZHIU3458639037629641,2025-06-18 02:54:42,8142,343,589,1224036,fe0422fc-4f72-4966-beff-b3eefe11ba2d
Ludovica Oprea,ludovicaoprea,ludovicaoprea@gmail.com,3981026155744,1925-02-16,"Bulevardul Dobre Nr. 346 Bl. 27  Sc. 88 Ap. 976, Anina, 137387",0753 808 141,f0:0d:9f:01:66:5e,15.31.234.101,RO31QLJD4501424302619922,2025-06-18 02:54:42,22675,788,424,454735,3890ef70-74d5-452e-8811-f54eb1a89004
Voicu Pop,voicupop,voicupop@gmail.com,2620501518688,1992-12-16,"Strada Mocanu Nr. 590, Murfatlar, 153927",0248 835 999,26:96:8d:2f:b2:83,24.51.105.38,RO35IRNK3817006912739228,2025-06-18 02:54:42,20265,770,649,1772516,b092718c-62d0-4d59-b2d9-8ca1beb5660d
Adelina Tudor,adelinatudor,adelinatudor@zzup.ro,1090323051645,2002-06-10,"Bulevardul Nistor Nr. 38, Remetea, 353454",0268 025 921,ec:48:dd:ec:be:b2,158.90.197.56,RO80TFUR9798561500016879,2025-06-18 02:54:42,713,283,3,287364,64e15c8e-baf8-4b1a-bf7f-a8f4e84d63ab
Dariana Aanei,darianaaanei,darianaaanei@acasa.ro,6880805363943,1940-02-07,"Drumul Popa Nr. 10 Bl. 34  Sc. 83 Ap. 443, Busteni, 342435",0732 557 988,3e:ee:83:86:50:ec,83.189.232.240,RO11SNXS0226310790402738,2025-06-18 02:54:42,3651,447,235,1058310,d7585d27-cf7d-4f74-a1b1-abcd3da700d1
Georgian Preda,georgianpreda,georgianpreda@zzup.ro,1061217299056,1947-03-18,"Strada Ioniță, Hunedoara, 310812",0725 459 452,b6:8e:0e:d8:ba:94,195.34.72.107,RO21KCQR9559352616593288,2025-06-18 02:54:42,34275,985,227,1199392,7dc53e97-9f34-4747-a18e-ab594519f873
Stelian Dochioiu,steliandochioiu,steliandochioiu@acasa.ro,7030304410793,1992-12-11,"Soseaua Ioniță, Barlad, 615103",0264 938 092,4e:61:a7:91:57:a0,167.8.196.140,RO79VRGA2662568984367003,2025-06-18 02:54:42,7916,227,341,356560,79903a64-fd01-41e0-8fa9-7453f17dc448
Betina Preda,betinapreda,betinapreda@email.ro,8480726353522,2021-09-11,"Strada Nemeș Nr. 315, Fagaras, 146691",0784 259 522,8a:44:c3:cf:82:0b,133.159.94.161,RO74ZHYH3067203862843813,2025-06-18 02:54:42,26580,296,11,1858138,59b91664-ca9d-4a85-9a3c-ff5d937a8a9a
Stana Nemeș,stananemeș,stananemeș@email.ro,2970613162727,1999-10-13,"Drumul Vlaicu Pușcașu, Odobesti, 699883",0235 236 853,62:de:10:80:35:a6,133.13.84.203,RO78MQTF8797586477679690,2025-06-18 02:54:42,21396,494,699,1724800,559600a7-938c-428d-af21-1508fb46be41
Zamfira Tudor,zamfiratudor,zamfiratudor@zzup.ro,2900319251050,1996-01-10,"Intrarea Oprea, Ocna Mures, 921635",0267 828 737,88:89:3c:ac:82:e4,170.178.153.91,RO05KCTV1517828799700690,2025-06-18 02:54:42,32270,939,640,843360,4f3c1050-1891-4ead-b91f-3b02385b6ff4
Lorin Mocanu,lorinmocanu,lorinmocanu@141.ro,2940320407832,1980-06-06,"Soseaua Dobre Nr. 840 Bl. 23  Sc. 48 Ap. 354, Floresti, 440204",0269 014 476,d2:35:f4:f3:36:3d,83.113.170.27,RO45CDJV8258430685567854,2025-06-18 02:54:42,31156,692,145,94471,757cd338-9978-48b2-9827-b82ce2887d40
Caius Popa,caiuspopa,caiuspopa@kappa.ro,8830409014215,1998-03-22,"Intrarea Costel Manole Nr. 46 Bl. 30  Sc. 19 Ap. 945, Targu Frumos, 270460",0769 796 449,82:ac:43:00:27:3f,48.102.218.20,RO90FRBP9385477423258234,2025-06-18 02:54:42,17835,540,58,1982551,d974b760-5ca0-4227-915e-811cf42406a1
Dan Albu,danalbu,danalbu@acasa.ro,2081025321347,2000-07-17,"Bulevardul Barbu Nr. 211, Sighetu Marmatiei, 908288",0746 589 113,00:af:47:35:97:11,51.201.176.226,RO38LPXT7643882355078956,2025-06-18 02:54:42,30281,389,355,76385,4f7f8d1a-583e-4fe0-bd32-f3f490ed8eef
